iter	MultiClass
0	1.4939873
1	1.389809632
2	1.283308556
3	1.189610877
4	1.117394316
5	1.043058529
6	0.977780871
7	0.9161212557
8	0.862176359
9	0.8258402356
10	0.793581482
11	0.7562787679
12	0.7149258206
13	0.6807911982
14	0.6508079424
15	0.6168284844
16	0.5934536082
17	0.5689671103
18	0.5460886349
19	0.5188496318
20	0.4972681012
21	0.4800958364
22	0.4585896863
23	0.438082884
24	0.4177714255
25	0.4012413023
26	0.3835181333
27	0.3696611985
28	0.3570722331
29	0.3420956482
30	0.3282161764
31	0.3175231002
32	0.3070251212
33	0.2973002724
34	0.286363037
35	0.2747244109
36	0.2652635165
37	0.2553981477
38	0.2462463051
39	0.2368949799
40	0.2292478716
41	0.221868992
42	0.2137454056
43	0.2063102509
44	0.2000184354
45	0.1927722133
46	0.1870181635
47	0.1812709788
48	0.1754533511
49	0.1693745415
50	0.1639641649
51	0.1595632296
52	0.1548176416
53	0.1498084544
54	0.1456386762
55	0.141602872
56	0.1373883579
57	0.1332154798
58	0.1295856334
59	0.1255720045
60	0.1222096739
61	0.1191720821
62	0.1164090428
63	0.1133755724
64	0.1104570597
65	0.1072487832
66	0.1041724447
67	0.1020783777
68	0.09921154483
69	0.09701292014
70	0.09457842668
71	0.09224478793
72	0.08976872034
73	0.08757955004
74	0.0855245195
75	0.08443456018
76	0.08271959192
77	0.08060767536
78	0.07889404247
79	0.07692513907
80	0.07533502898
81	0.07365871636
82	0.07207537411
83	0.07050255871
84	0.0691063006
85	0.06772676493
86	0.06628748118
87	0.0647726232
88	0.06343619636
89	0.06214944198
90	0.06077698957
91	0.05951782434
92	0.05823431972
93	0.05699364162
94	0.05601297094
95	0.05484531432
96	0.05371565531
97	0.05277125576
98	0.05170792397
99	0.05076659082
100	0.04987398782
101	0.04902846728
102	0.04808248009
103	0.04730780063
104	0.04650857928
105	0.04566927603
106	0.04487046026
107	0.04414123377
108	0.04338735852
109	0.04261033964
110	0.04205811656
111	0.04131938473
112	0.04067631749
113	0.03997676483
114	0.03934908532
115	0.03868679175
116	0.03806673464
117	0.03764548011
118	0.03710348034
119	0.03650245752
120	0.03609226673
121	0.03562454654
122	0.03506254916
123	0.03451528748
124	0.03402201903
125	0.03350173734
126	0.03305467698
127	0.03255903692
128	0.03207586597
129	0.03166349325
130	0.031202549
131	0.03075292306
132	0.03031424501
133	0.02988615915
134	0.02950384759
135	0.02909511628
136	0.02869601679
137	0.02830624484
138	0.02792550784
139	0.0275535244
140	0.02719002378
141	0.02683474552
142	0.02648743888
143	0.0261478625
144	0.02581578395
145	0.02549097938
146	0.02517323311
147	0.02486233733
148	0.02455809173
149	0.02426978126
150	0.02397808026
151	0.02369247535
152	0.02341279311
153	0.02313886621
154	0.02287053315
155	0.02260763802
156	0.02235003029
157	0.02209756457
158	0.02185010043
159	0.02160750218
160	0.0213696387
161	0.02113638323
162	0.02090761325
163	0.02069066914
164	0.02047038761
165	0.02025425077
166	0.02004215126
167	0.01984296204
168	0.01963847045
169	0.0194377182
170	0.01924061088
171	0.01904705706
172	0.01885696819
173	0.01867025846
174	0.01848684472
175	0.01830664637
176	0.01812958529
177	0.01795558572
178	0.01778457421
179	0.0176164795
180	0.01745591366
181	0.01729337087
182	0.01713354531
183	0.01697637379
184	0.01682179491
185	0.01666974909
186	0.01652017845
187	0.0163730268
188	0.01623331043
189	0.01609075849
190	0.01595046791
191	0.01581238855
192	0.01567647167
193	0.01554266988
194	0.01541093709
195	0.0152812285
196	0.01515350053
197	0.01502771076
198	0.01490381796
199	0.01478178196
200	0.01466156372
201	0.01454312518
202	0.01442642934
203	0.01431144014
204	0.01419812248
205	0.01408644217
206	0.0139763659
207	0.01386786124
208	0.01376089656
209	0.01365544107
210	0.01355146473
211	0.0134489383
212	0.01334783322
213	0.01324812169
214	0.01314977658
215	0.01305277144
216	0.01295708046
217	0.01286267847
218	0.01276954091
219	0.01267764382
220	0.01258696382
221	0.01249747808
222	0.01240916433
223	0.01232200081
224	0.01223596629
225	0.01215104004
226	0.0120672018
227	0.0119844318
228	0.01190271073
229	0.0118220197
230	0.01174234029
231	0.01166365446
232	0.01158594462
233	0.01150919355
234	0.01143338444
235	0.01135850083
236	0.01128452665
237	0.01121144619
238	0.01113924406
239	0.01106790524
240	0.01099741501
241	0.010927759
242	0.01085892313
243	0.01079089363
244	0.01072365704
245	0.01065720016
246	0.01059151009
247	0.01052657421
248	0.01046238016
249	0.01039891582
250	0.01033616935
251	0.01027412915
252	0.01021278386
253	0.01015212234
254	0.0100921337
255	0.01003280727
256	0.009974132579
257	0.009916099388
258	0.009858697656
259	0.009801917547
260	0.009745749419
261	0.009690183825
262	0.009635211505
263	0.009580823379
264	0.00952701055
265	0.009473764293
266	0.009421076052
267	0.009368937441
268	0.009317340234
269	0.009266276362
270	0.009215737913
271	0.009165717125
272	0.009116206385
273	0.009067198224
274	0.009018685312
275	0.008970660459
276	0.008923116607
277	0.008876046833
278	0.008829444341
279	0.008783302458
280	0.008737614638
281	0.008692374452
282	0.008647575591
283	0.008603211858
284	0.00855927717
285	0.008515765554
286	0.008472671142
287	0.008429988175
288	0.008387710992
289	0.008345834037
290	0.00830435185
291	0.008263259066
292	0.008222550417
293	0.008182220726
294	0.008142264905
295	0.008102677955
296	0.008063454965
297	0.008024591106
298	0.007986081633
299	0.007947921883
